I1,V1,I2,V2,I3,V3,I4,V4,I5,V5,I6,V6,fault
8.21513 ,2.59468 ,8.21513 ,2.59468 ,-0.00302 ,0.00000 ,8.21513 ,2.59468 ,8.21513 ,2.59468 ,8.21513 ,2.59468 ,1 
8.21312 ,3.03734 ,8.21312 ,3.03734 ,-0.00362 ,0.00000 ,8.21312 ,3.03734 ,8.21312 ,3.03734 ,8.21312 ,3.03734 ,1 
8.21137 ,3.47989 ,8.21137 ,3.47989 ,-0.00417 ,0.00000 ,8.21137 ,3.47989 ,8.21137 ,3.47989 ,8.21137 ,3.47989 ,1 
8.20945 ,4.04632 ,8.20945 ,4.04632 ,-0.00480 ,0.00000 ,8.20945 ,4.04632 ,8.20945 ,4.04632 ,8.20945 ,4.04632 ,1 
8.20779 ,4.61262 ,8.20779 ,4.61262 ,-0.00537 ,0.00000 ,8.20779 ,4.61262 ,8.20779 ,4.61262 ,8.20779 ,4.61262 ,1 
8.20599 ,5.32491 ,8.20599 ,5.32491 ,-0.00601 ,0.00000 ,8.20599 ,5.32491 ,8.20599 ,5.32491 ,8.20599 ,5.32491 ,1 
8.20442 ,6.03704 ,8.20442 ,6.03704 ,-0.00656 ,0.00000 ,8.20442 ,6.03704 ,8.20442 ,6.03704 ,8.20442 ,6.03704 ,1 
8.20264 ,6.95769 ,8.20264 ,6.95769 ,-0.00717 ,0.00000 ,8.20264 ,6.95769 ,8.20264 ,6.95769 ,8.20264 ,6.95769 ,1 
8.20105 ,7.87813 ,8.20105 ,7.87813 ,-0.00767 ,0.00000 ,8.20105 ,7.87813 ,8.20105 ,7.87813 ,8.20105 ,7.87813 ,1 
8.19905 ,9.13242 ,8.19905 ,9.13242 ,-0.00823 ,0.00000 ,8.19905 ,9.13242 ,8.19905 ,9.13242 ,8.19905 ,9.13242 ,1 
8.19677 ,10.67963 ,8.19677 ,10.67963 ,-0.00876 ,0.00000 ,8.19677 ,10.67963 ,8.19677 ,10.67963 ,8.19677 ,10.67963 ,1 
8.19459 ,12.22640 ,8.19459 ,12.22640 ,-0.00915 ,0.00000 ,8.19459 ,12.22640 ,8.19459 ,12.22640 ,8.19459 ,12.22640 ,1 
8.19173 ,14.30590 ,8.19173 ,14.30590 ,-0.00951 ,0.00000 ,8.19173 ,14.30590 ,8.19173 ,14.30590 ,8.19173 ,14.30590 ,1 
8.18892 ,16.38467 ,8.18892 ,16.38467 ,-0.00976 ,0.00000 ,8.18892 ,16.38467 ,8.18892 ,16.38467 ,8.18892 ,16.38467 ,1 
8.18522 ,19.15260 ,8.18522 ,19.15260 ,-0.00996 ,0.00000 ,8.18522 ,19.15260 ,8.18522 ,19.15260 ,8.18522 ,19.15260 ,1 
8.18153 ,21.91928 ,8.18153 ,21.91928 ,-0.01007 ,0.00000 ,8.18153 ,21.91928 ,8.18153 ,21.91928 ,8.18153 ,21.91928 ,1 
8.17625 ,25.90067 ,8.17625 ,25.90067 ,-0.01015 ,0.00000 ,8.17625 ,25.90067 ,8.17625 ,25.90067 ,8.17625 ,25.90067 ,1 
8.17097 ,29.87947 ,8.17097 ,29.87947 ,-0.01019 ,0.00000 ,8.17097 ,29.87947 ,8.17097 ,29.87947 ,8.17097 ,29.87947 ,1 
8.17065 ,30.12034 ,8.17065 ,30.12034 ,-0.01019 ,0.00000 ,8.17065 ,30.12034 ,8.17065 ,30.12034 ,8.17065 ,30.12034 ,1 
8.17033 ,30.36120 ,8.17033 ,30.36120 ,-0.01019 ,0.00000 ,8.17033 ,30.36120 ,8.17033 ,30.36120 ,8.17033 ,30.36120 ,1 
