Irradiance,Resistance,I1,V1,I2,V2,I3,V3,I4,V4,I5,V5,I6,V6,Fault
1000,21.3,1.254,161.176,1.254,161.176,1.254,161.176,1.254,161.176,1.254,161.176,1.254,161.176,0
1000,21.4,1.249,161.192,1.249,161.192,1.249,161.192,1.249,161.192,1.249,161.192,1.249,161.192,0
1000,21.5,1.243,161.207,1.243,161.207,1.243,161.207,1.243,161.207,1.243,161.207,1.243,161.207,0
1000,21.6,1.237,161.223,1.237,161.223,1.237,161.223,1.237,161.223,1.237,161.223,1.237,161.223,0
1000,21.7,1.232,161.238,1.232,161.238,1.232,161.238,1.232,161.238,1.232,161.238,1.232,161.238,0
1000,21.8,1.226,161.253,1.226,161.253,1.226,161.253,1.226,161.253,1.226,161.253,1.226,161.253,0
1000,21.9,1.221,161.268,1.221,161.268,1.221,161.268,1.221,161.268,1.221,161.268,1.221,161.268,0
1000,22,1.215,161.283,1.215,161.283,1.215,161.283,1.215,161.283,1.215,161.283,1.215,161.283,0
1000,22.1,1.21,161.297,1.21,161.297,1.21,161.297,1.21,161.297,1.21,161.297,1.21,161.297,0
1000,22.2,1.205,161.312,1.205,161.312,1.205,161.312,1.205,161.312,1.205,161.312,1.205,161.312,0
1000,22.3,1.199,161.326,1.199,161.326,1.199,161.326,1.199,161.326,1.199,161.326,1.199,161.326,0
1000,22.4,1.194,161.341,1.194,161.341,1.194,161.341,1.194,161.341,1.194,161.341,1.194,161.341,0
1000,22.5,1.189,161.355,1.892,161.355,1.892,161.355,1.892,161.355,1.892,161.355,1.892,161.355,0
1000,22.6,1.184,161.369,1.184,161.369,1.184,161.369,1.184,161.369,1.184,161.369,1.184,161.369,0
1000,22.7,1.179,161.383,1.179,161.383,1.179,161.383,1.179,161.383,1.179,161.383,1.179,161.383,0
1000,22.8,1.173,161.396,1.173,161.396,1.173,161.396,1.173,161.396,1.173,161.396,1.173,161.396,0
1000,22.9,1.169,161.41,1.169,161.41,1.169,161.41,1.169,161.41,1.169,161.41,1.169,161.41,0
1000,23,1.163,161.424,1.163,161.424,1.163,161.424,1.163,161.424,1.163,161.424,1.163,161.424,0
1000,23.1,1.158,161.437,1.158,161.437,1.158,161.437,1.158,161.437,1.158,161.437,1.158,161.437,0
1000,23.2,1.54,161.451,1.54,161.451,1.54,161.451,1.54,161.451,1.54,161.451,1.54,161.451,0
1000,23.3,1.149,161.463,1.149,161.463,1.149,161.463,1.149,161.463,1.149,161.463,1.149,161.463,0
1000,23.4,1.144,161.476,1.144,161.476,1.144,161.476,1.144,161.476,1.144,161.476,1.144,161.476,0
1000,23.5,1.139,161.489,1.139,161.489,1.139,161.489,1.139,161.489,1.139,161.489,1.139,161.489,0
1000,23.6,1.134,161.502,1.134,161.502,1.134,161.502,1.134,161.502,1.134,161.502,1.134,161.502,0
1000,23.7,1.13,161.515,1.13,161.515,1.13,161.515,1.13,161.515,1.13,161.515,1.13,161.515,0
1000,23.8,1.125,161.528,1.125,161.528,1.125,161.528,1.125,161.528,1.125,161.528,1.125,161.528,0
1000,23.9,1.12,161.54,1.12,161.54,1.12,161.54,1.12,161.54,1.12,161.54,1.12,161.54,0
1000,24,1.116,161.553,1.116,161.553,1.116,161.553,1.116,161.553,1.116,161.553,1.116,161.553,0
1000,24.1,1.112,161.566,1.112,161.566,1.112,161.566,1.112,161.566,1.112,161.566,1.112,161.566,0
1000,24.2,1.108,161.579,1.108,161.579,1.108,161.579,1.108,161.579,1.108,161.579,1.108,161.579,0
1000,24.3,1.104,161.591,1.104,161.591,1.104,161.591,1.104,161.591,1.104,161.591,1.104,161.591,0
1000,24.4,1.099,161.602,1.099,161.602,1.099,161.602,1.099,161.602,1.099,161.602,1.099,161.602,0
1000,24.5,1.094,161.616,1.094,161.616,1.094,161.616,1.094,161.616,1.094,161.616,1.094,161.616,0
1000,24.6,1.089,161.626,1.089,161.626,1.089,161.626,1.089,161.626,1.089,161.626,1.089,161.626,0
1000,24.7,1.085,161.637,1.085,161.637,1.085,161.637,1.085,161.637,1.085,161.637,1.085,161.637,0
1000,24.8,1.081,161.648,1.081,161.648,1.081,161.648,1.081,161.648,1.081,161.648,1.081,161.648,0
1000,24.9,1.077,161.659,1.077,161.659,1.077,161.659,1.077,161.659,1.077,161.659,1.077,161.659,0
1000,25,1.073,161.67,1.073,161.67,1.073,161.67,1.073,161.67,1.073,161.67,1.073,161.67,0
1000,25.1,1.069,161.682,1.069,161.682,1.069,161.682,1.069,161.682,1.069,161.682,1.069,161.682,0
1000,25.2,1.064,161.694,1.064,161.694,1.064,161.694,1.064,161.694,1.064,161.694,1.064,161.694,0
1000,25.3,1.06,161.706,1.06,161.706,1.06,161.706,1.06,161.706,1.06,161.706,1.06,161.706,0
1000,25.4,1.056,161.718,1.056,161.718,1.056,161.718,1.056,161.718,1.056,161.718,1.056,161.718,0
