I1,V1,I2,V2,I3,V3,I4,V4,I5,V5,I6,V6,fault,,,,
8.11716,70.55471,8.11716,70.55471,8.11716,70.55471,8.0953,70.55469,8.11716,70.55471,8.11716,70.55471,2 ,,,,
8.11115,75.05935,8.11115,75.05935,8.11115,75.05935,8.08892,75.05933,8.11115,75.05935,8.11115,75.05935,2 ,,,,
8.10511,79.5606,8.10511,79.5606,8.10511,79.5606,8.08214,79.56058,8.10511,79.5606,8.10511,79.5606,2 ,,,,
8.09901,84.05838,8.09901,84.05838,8.09901,84.05838,8.0746,84.05835,8.09901,84.05838,8.09901,84.05838,2 ,,,,
8.09277,88.55254,8.09277,88.55254,8.09277,88.55254,8.06557,88.55251,8.09277,88.55254,8.09277,88.55254,2 ,,,,
8.08626,93.04279,8.08626,93.04279,8.08626,93.04279,8.05368,93.04275,8.08626,93.04279,8.08626,93.04279,2 ,,,,
8.07923,97.52857,8.07923,97.52857,8.07923,97.52857,8.03633,97.52853,8.07923,97.52857,8.07923,97.52857,2 ,,,,
8.0712,102.00883,8.0712,102.00883,8.0712,102.00883,8.00866,102.00877,8.0712,102.00883,8.0712,102.00883,2 ,,,,
8.06124,106.48155,8.06124,106.48155,8.06124,106.48155,7.96189,106.48145,8.06124,106.48155,8.06124,106.48155,2 ,,,,
8.04756,110.943,8.04756,110.943,8.04756,110.943,7.88105,110.94284,8.04756,110.943,8.04756,110.943,2 ,,,,
8.02682,115.38656,8.02682,115.38656,8.02682,115.38656,7.74317,115.38628,8.02682,115.38656,8.02682,115.38656,2 ,,,,
7.99278,119.80097,7.99278,119.80097,7.99278,119.80097,7.51937,119.80049,7.99278,119.80097,7.99278,119.80097,2 ,,,,
7.97849,121.1174,7.97849,121.1174,7.97849,121.1174,7.43129,121.11685,7.97849,121.1174,7.97849,121.1174,2 ,,,,
7.96163,122.42908,7.96163,122.42908,7.96163,122.42908,7.33274,122.42845,7.96163,122.42908,7.96163,122.42908,2 ,,,,
7.87143,127.10014,7.87143,127.10014,7.87143,127.10014,6.88989,127.09916,7.87143,127.10014,7.87143,127.10014,2 ,,,,
7.70939,131.65827,7.70939,131.65827,7.70939,131.65827,6.32285,131.65689,7.70939,131.65827,7.70939,131.65827,2 ,,,,
7.64041,132.99637,7.64041,132.99637,7.64041,132.99637,6.13396,132.99486,7.64041,132.99637,7.64041,132.99637,2 ,,,,
7.5598,134.31747,7.5598,134.31747,7.5598,134.31747,5.93831,134.31584,7.5598,134.31747,7.5598,134.31747,2 ,,,,
7.1988,138.51613,7.1988,138.51613,7.1988,138.51613,5.26222,138.51419,7.1988,138.51613,7.1988,138.51613,2 ,,,,
6.67531,142.42868,6.67531,142.42868,6.67531,142.42868,4.57134,142.42658,6.67531,142.42868,6.67531,142.42868,2 ,,,,
6.00955,145.97931,6.00955,145.97931,6.00955,145.97931,3.90231,145.9772,6.00955,145.97931,6.00955,145.97931,2 ,,,,
5.26453,149.11652,5.26453,149.11652,5.26453,149.11652,3.28394,149.11454,5.26453,149.11652,5.26453,149.11652,2 ,,,,
4.51201,151.82491,4.51201,151.82491,4.51201,151.82491,2.73281,151.82313,4.51201,151.82491,4.51201,151.82491,2 ,,,,
3.80376,154.12124,3.80376,154.12124,3.80376,154.12124,2.25467,154.11969,3.80376,154.12124,3.80376,154.12124,2 ,,,,
3.16762,156.04202,3.16762,156.04202,3.16762,156.04202,1.84796,156.0407,3.16762,156.04202,3.16762,156.04202,2 ,,,,
2.61443,157.63245,2.61443,157.63245,2.61443,157.63245,1.50716,157.63135,2.61443,157.63245,2.61443,157.63245,2 ,,,,
